t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder_p [rad],delta_rudder_s [rad],n_prop [rps],n_bt [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
124.69999999999719,28.17176120459594,0.2714879582487862,33.11602922738296,0.0919696046527362,0.5381868951496672,-0.07093496030629938,0.24533270051045517,2.906971281926049,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.167963719388663,0.27218124174238617,33.13449077775632,0.10384505041294989,0.541272788495767,-0.07153388133193916,0.24533270051045517,2.906971281926049,0,0.4541137476780128,2.966046598564228,0.4541137476780128,2.966046598564228
124.79999999999718,28.19035805352024,0.27090556318398284,33.137842031114424,0.09186415760779007,0.5310933991190373,-0.07093028962881029,0.24719621893847657,2.904597842761231,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.175225239142996,0.2793073245953384,33.15411433557704,0.07928788492681972,0.531107166227539,-0.0702642485629262,0.24719621893847657,2.904597842761231,0,0.4557536081602987,2.965416398570144,0.4557536081602987,2.965416398570144
124.89999999999718,28.209064285718615,0.2703274891004237,33.15948378134657,0.09175886743415537,0.5240003701561563,-0.0709256311436726,0.24735784349033868,2.8939748622331223,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.261244871786918,0.2776982812516576,33.105646507373365,0.10249580058096772,0.5243758767516208,-0.07416317356131782,0.24735784349033868,2.8939748622331223,0,0.4548497482458344,2.9631762961296113,0.4548497482458344,2.9631762961296113
124.99999999999717,28.227878768725414,0.2697536638851246,33.180954264348784,0.09165369879244446,0.5169078070417891,-0.07092104227869045,0.24742458652460544,2.9110191485080508,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.199200580723783,0.2735332746837552,33.23055913978524,0.12150202084336846,0.5134938091822621,-0.07116195292990514,0.24742458652460544,2.9110191485080508,0,0.4576620821666586,2.973552949849098,0.4576620821666586,2.973552949849098
125.09999999999717,28.246800369781607,0.2691841623438215,33.20225326456683,0.09154901928527873,0.5098157028139201,-0.07091643670898597,0.24798617036550746,2.900478241616229,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.23643925138818,0.2581470696376497,33.199275986430195,0.09756706875033597,0.5081074481100444,-0.07207069029830855,0.24798617036550746,2.900478241616229,0,0.45712012179229833,2.9708823247287373,0.45712012179229833,2.9708823247287373
125.19999999999716,28.265827948918595,0.268618859922389,33.223380606900264,0.0914444666393401,0.5027240591430214,-0.07091189880358653,0.24672392582615074,2.919699189094451,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.271550696201448,0.2689259939474111,33.2229188718389,0.09932739225742304,0.5032649924352608,-0.07178648533496834,0.24672392582615074,2.919699189094451,0,0.4590510297691869,2.9838847003339453,0.4590510297691869,2.9838847003339453
125.29999999999715,28.28496037747666,0.26805781752729535,33.2443360835429,0.09134048701864214,0.49563286926266276,-0.07090736940007256,0.2467896336100333,2.927731940939623,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.24287643839936,0.2570064950640007,33.25892333330522,0.09358214982754377,0.4959476951086646,-0.06870901272573099,0.2467896336100333,2.927731940939623,0,0.4605586111890256,2.9902628549543735,0.4605586111890256,2.9902628549543735
125.39999999999715,28.304196515070625,0.2675009762586615,33.2651195334858,0.09123689719089267,0.4885421323226555,-0.07090286650646778,0.24800787452394707,2.9301316614443302,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.308132632948436,0.2641028685691463,33.32368140102477,0.08693389440692251,0.48884069040254435,-0.07274968956847885,0.24800787452394707,2.9301316614443302,0,0.4622956811829731,2.992795438656457,0.4622956811829731,2.992795438656457
125.49999999999714,28.323535229612606,0.26694829991332963,33.285730781797035,0.09113359857770635,0.4814518456720087,-0.07089839037932999,0.2507811171498015,2.912652164784922,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.362446595955728,0.2639765755990448,33.33562852152606,0.0732259435985376,0.48084667929109637,-0.0709369908849246,0.2507811171498015,2.912652164784922,0,0.46276693839646765,2.9844782187330816,0.46276693839646765,2.9844782187330816
125.59999999999714,28.342975394897422,0.26639971369885224,33.30616964795596,0.09103030345836013,0.47436200663407574,-0.07089397151072564,0.25099143201324686,2.9031900563949913,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.306294437027685,0.2652585050232838,33.26507086677339,0.08883820100511697,0.4722840540320142,-0.07061012847982469,0.25099143201324686,2.9031900563949913,0,0.4621074285142234,2.9827370846798273,0.4621074285142234,2.9827370846798273
125.69999999999713,28.362515895505556,0.2658551968844921,33.326435927142064,0.09092720420015118,0.4672726094830032,-0.07088963255272472,0.24989612625538118,2.923614148534477,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.35058955205615,0.2669660048985152,33.27840901474229,0.08506863842411896,0.4680836416942707,-0.0730443485651739,0.24989612625538118,2.923614148534477,0,0.46423282497120516,2.9962752629974574,0.46423282497120516,2.9962752629974574
125.79999999999713,28.382155609231894,0.26531480597133705,33.346529435210314,0.0908247266298748,0.4601836462277307,-0.07088531538279207,0.25128830044441997,2.931546907972126,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.38190616950122,0.26637830248403654,33.409727509426546,0.09511135379749003,0.45656268698955776,-0.07028715655811009,0.25128830044441997,2.931546907972126,0,0.4668291924576034,3.0013240447468963,0.4668291924576034,3.0013240447468963
125.89999999999712,28.401893404128888,0.2647784925970406,33.366450033217255,0.0907226396129058,0.4530951146894515,-0.0708810161076777,0.2497396459339374,2.9279348527279345,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.420493256587935,0.2661124747720093,33.33536273238845,0.09160166375741627,0.45205444323708066,-0.07185009267988593,0.2497396459339374,2.9279348527279345,0,0.465415754414415,3.0042389866437684,0.465415754414415,3.0042389866437684
